rentree_scolaire;UAI;departement;academie;region;patronyme;indice_eloignement
2021;0801949J;SOMME;AMIENS;HAUTS-DE-FRANCE;LYCÉE PROFESSIONNEL PRIVÉ SAINT RIQUIER;96.8
2021;0890005X;YONNE;DIJON;BOURGOGNE-FRANCHE-COMTE;LYCÉE POLYVALENT JEAN-JOSEPH FOURIER;96.8
2021;0930136T;SEINE-SAINT-DENIS;CRETEIL;ILE-DE-FRANCE;LYCÉE POLYVALENT CLAUDE-NICOLAS LEDOUX - LYCÉE DES MÉTIERS DE L'ÉCO-CONSTRUCTION ET DE LA DÉCORATION;96.8
2021;0932030B;SEINE-SAINT-DENIS;CRETEIL;ILE-DE-FRANCE;LYCÉE POLYVALENT MAURICE UTRILLO;96.8
2021;0950947N;VAL-D'OISE;VERSAILLES;ILE-DE-FRANCE;LYCÉE POLYVALENT MARYSE CONDÉ;96.8
2021;0410832G;LOIR-ET-CHER;ORLEANS-TOURS;CENTRE-VAL DE LOIRE;LYCÉE PROFESSIONNEL SONIA DELAUNAY - LYCÉE DES MÉTIERS DES SERVICES À LA PERSONNE ET DU TERTIAIRE;96.9
2021;0501299R;MANCHE;NORMANDIE;NORMANDIE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ THOMAS HÉLYE;96.9
2021;0601701Y;OISE;AMIENS;HAUTS-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ JEAN-PAUL II;96.9
2021;0622089J;PAS-DE-CALAIS;LILLE;HAUTS-DE-FRANCE;LYCÉE PROFESSIONNEL ANDRÉ MALRAUX;96.9
2021;0753820V;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ LES FRANCS BOURGEOIS;96.9
2021;0761356L;SEINE MARITIME;NORMANDIE;NORMANDIE;LYCÉE POLYVALENT PRIVÉ PROVIDENCE SAINTE THÉRÈSE - LYCÉE DES MÉTIERS DES SERVICES AUX PERSONNES ET AUX ENTREPRISES;96.9
2021;0801882L;SOMME;AMIENS;HAUTS-DE-FRANCE;LYCÉE POLYVALENT LA HOTOIE;96.9
2021;0022042J;AISNE;AMIENS;HAUTS-DE-FRANCE;LYCÉE POLYVALENT JEAN BOUIN - LYCÉE DES MÉTIERS DE LA MODE, DES SERVICES À LA PERSONNE ET AUX COLLECTIVITÉS;97.0
2021;0511901P;MARNE;REIMS;GRAND EST;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE COLBERT;97.0
2021;0573770N;MOSELLE;NANCY-METZ;GRAND EST;ENSEMBLE SCOLAIRE ST ETIENNE;97.0
2021;0590198V;NORD;LILLE;HAUTS-DE-FRANCE;LYCÉE PROFESSIONNEL GEORGES GUYNEMER;97.0
2021;0761341V;SEINE MARITIME;NORMANDIE;NORMANDIE;LYCÉE POLYVALENT PRIVÉ LES TOURELLES - LYCÉE DES MÉTIERS DE LA GESTION ET DU MANAGEMENT;97.0
2021;0120022J;AVEYRON;TOULOUSE;OCCITANIE;LYCÉE GÉNÉRAL FERDINAND FOCH;97.1
2021;0140018U;CALVADOS;NORMANDIE;NORMANDIE;LYCÉE PROFESSIONNEL VICTOR LEPINE - LYCÉE DES MÉTIERS D'ARTS APPLIQUÉS À LA CRÉATION ET AU BIEN ÊTRE;97.1
2021;0220060W;COTES D'ARMOR;RENNES;BRETAGNE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE EUGÈNE FREYSSINET;97.1
2021;0590263R;NORD;LILLE;HAUTS-DE-FRANCE;LYCÉE PROFESSIONNEL FERNAND LÉGER;97.1
2021;0622114L;PAS-DE-CALAIS;LILLE;HAUTS-DE-FRANCE;LYCÉE POLYVALENT PRIVÉ SAINT PAUL;97.1
2021;0623902E;PAS-DE-CALAIS;LILLE;HAUTS-DE-FRANCE;LYCÉE POLYVALENT MARGUERITE YOURCENAR - LYCÉE DES MÉTIERS DE LA PERSONNE, SANTÉ, SOCIAL ET DE L'HÔTELLERIE RESTAURATION;97.1
2021;0761322Z;SEINE MARITIME;NORMANDIE;NORMANDIE;LYCÉE PROFESSIONNEL CLAUDE MONET;97.1
2021;0763500S;SEINE MARITIME;NORMANDIE;NORMANDIE;LYCÉE POLYVALENT PRIVÉ SAINT VINCENT DE PAUL - LYCÉE DES MÉTIERS DE L'IMAGE;97.1
2021;0920898B;HAUTS-DE-SEINE;VERSAILLES;ILE-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ RAMBAM;97.1
2021;0921594H;HAUTS-DE-SEINE;VERSAILLES;ILE-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE MICHEL ANGE;97.1
